[2025-04-16 08:41:28] IP: 10.0.0.1 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /
[2025-04-16 08:41:29] IP: 10.0.0.1 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /static/logos/tplink.png
[2025-04-16 08:41:35] IP: 10.0.0.1 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /
[2025-04-16 08:41:35] IP: 10.0.0.1 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /static/logos/globe.png
[2025-04-16 08:41:38] IP: 10.0.0.1 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /
[2025-04-16 08:41:38] IP: 10.0.0.1 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /static/logos/pldt.png
[2025-04-16 08:41:40] IP: 10.0.0.1 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /
[2025-04-16 08:41:40] IP: 10.0.0.1 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /static/logos/converge.png
[2025-06-08 02:27:39] IP: 192.168.100.141 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /
[2025-06-08 02:27:40] IP: 192.168.100.141 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /static/logos/tplink.png
[2025-06-08 02:28:11] IP: 192.168.100.141 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /phish
[2025-06-08 02:28:11] IP: 192.168.100.141 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Path: /favicon.ico
